country,iso3,year,gdp_growth_pct,inflation_cpi_pct,unemployment_pct
Indonesia,IDN,2024,5.0,2.2,3.3
United States,USA,2024,2.8,2.9,4.1
Japan,JPN,2024,0.1,2.7,2.6
China,CHN,2024,5.0,0.2,4.6
Germany,DEU,2024,-0.5,2.3,3.4
Brunei Darussalam,BRN,2024,,,
Cambodia,KHM,2024,,,
Lao PDR,LAO,2024,,,
Malaysia,MYS,2024,,,
Myanmar,MMR,2024,,,
Philippines,PHL,2024,,,
Singapore,SGP,2024,,,
Thailand,THA,2024,,,
Viet Nam,VNM,2024,,,
