Country Name;Country Code;1995;2000;2005;2010;2015;2020;2023
Indonesia;IDN;50,1;51,2;52,0;51,5;50,8;52,3;53,0
Malaysia;MYS;44,2;45,0;45,7;46,2;46,8;47,5;48,0
Thailand;THA;65,1;66,0;66,5;67,0;67,4;68,0;68,2
